day_period;currency_code;currency_name;currency_rate;source
2021-01-12;KRW;KRW;0.0009099957;ECB
2021-01-12;LAK;Lao Kip;0.000107622367;XE
2021-01-12;MXN;MXN;0.0500432081;ECB
2021-01-12;MYR;MYR;0.2464584642;ECB
2021-01-12;NGN;Nigerian Naira;0.002628852661;XE
2021-01-12;NOK;NOK;0.1171975136;ECB
2021-01-12;NZD;NZD;0.7178866588;ECB
2021-01-12;PHP;PHP;0.0208115138;ECB
2021-01-12;PLN;PLN;0.2687632603;ECB
2021-01-12;RON;RON;0.2496458851;ECB
2021-01-12;RUB;RUB;0.0135041647;ECB
2021-01-12;SEK;SEK;0.1205515573;ECB
2021-01-12;SGD;SGD;0.7531896445;ECB
2021-01-12;THB;THB;0.0331895964;ECB
2021-01-12;TRY;TRY;0.1335639758;ECB
2021-01-12;UGX;Ugandan Shilling;0.000269187376;XE
2021-01-12;USD;USD;1.0;ECB
2021-01-12;UST;USDT;1.0;CUST
2021-01-12;VND;Vietnamese Dong;0.000043268043;XE
2021-01-12;XBT;Bitcoin;34011.060396841051;XE
2021-01-12;ZAR;ZAR;0.0649386711;ECB
2021-01-13;AUD;AUD;0.7732299479;ECB
2021-01-13;BGN;BGN;0.6220472441;ECB
2021-01-13;BRL;BRL;0.1875472105;ECB
2021-01-13;CAD;CAD;0.7855620843;ECB
2021-01-13;CHF;CHF;1.1252312246;ECB
2021-01-13;CNY;CNY;0.1545556177;ECB
2021-01-13;CZK;CZK;0.0464830168;ECB
2021-01-13;DKK;DKK;0.1635390902;ECB
2021-01-13;EUR;EUR;1.2166;ECB
2021-01-13;GBP;GBP;1.3672274479;ECB
2021-01-13;HKD;HKD;0.1289645522;ECB
2021-01-13;HRK;HRK;0.1604907328;ECB
2021-01-13;HUF;HUF;0.0033770992;ECB
2021-01-13;IDR;IDR;0.0000707809;ECB
2021-01-13;ILS;ILS;0.3183816602;ECB
2021-01-13;INR;INR;0.013668204;ECB
2021-01-13;ISK;ISK;0.0077987179;ECB
2021-01-13;JPY;JPY;0.0096219551;ECB
2021-01-13;KRW;KRW;0.0009111744;ECB
2021-01-13;LAK;Lao Kip;0.00010752711;XE
2021-01-13;MXN;MXN;0.0503947576;ECB
2021-01-13;MYR;MYR;0.2472512956;ECB
